id,name
6ahRm8j7YMMjZqA1fzjwAZ,Poco - Live
22Su2Seg4jxRMMSjs0bKZq,Vamo Batê Lata - Paralamas Ao Vivo (Live)
6HuHvPC7L7MiJgkqpZlmH4,Goodnight Vienna
68G0OrHSLOJveKlQieO3UW,Luismi Bossa Vol. 1
7fU3HcpuIm3LlN0lBlRnRR,Caught in the Game
7g7nFMPWmFfk70ZvhTs0TT,Timeless (The Classics)
50cNEYjextcTe2rb4zgkNr,No Hard Feelings (Original Motion Picture Soundtrack)
11UdnplFKuUeb1c4KRv5vk,Funkyworld: The Best Of Lipps Inc
76gosPIawDRNVQhNyoxmbY,Time After Time
2C5oKE03phy4w8yHTkWTNW,Electronic Pleasure
2xpV9DXIMjXsVPs5Mz0Nez,Let's All Chant
5cwUCXPFFfNsnk4qipc40D,Self Control
6r4vIr4aUsK00mGHDiQkrl,Dreamland
1Vy0WYKKo7beRsrWm5hU3w,Mickey (Xtra & Remastered)
0tyIX9LOF4VEp367nBjZI4,Tu Serás Mi Baby
0uyDLDRveRYKxBpkV9MQ0d,Y Yo la Amo
0ORrRtBqjERyBBZWSsSw9C,Tiffany
320pxdXLv6T9FAG8XmpAYx,Fez assim Fiu Fiu
719HzJ5wKCbFb5KeU96DhW,Baker Street
1Qo4xIO7aWMVcbelqpTdGY,The Singles
7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version)
5RkdTCk60twFkCif5HLHKw,Somebody's Watching Me
0pqHRSv6OfxRSc0kLNDrUb,Future Bound
1mByrI0D24jYEOU6tGcPNH,The Carol Douglas Album
5eEBbzeBJlcvLl9r0RkxcC,La Gata Bajo La LLuvia
31J1iOZVTNzbSPtIhsXPsp,You'll Never Know
5d4msKq0dPFzNJ0bUyC4fb,The Ultimate Hits
21y4sclc2q199psUjcisyE,Bomfalleralla
779UxXcPip2XPDr7Pitem6,90's One Hit Wonders
0CMD71ge42KYLaPZVor3bp,Delilah
3Ugt1E8Ft5I0Ry1cLUdMIi,Sanremo grande amore
7Bic8EgjX9MCpMEOEO3kff,Onda Onda (Olha Onda)
11VyApJ9p9rT2VMQ6QH9vg,Daily
370c3ksxpRar63A1MuRuCW,Land Down Under
6gDOvRUvES84YOBkMEQTbD,Tonight I'm Yours (Expanded Edition)
3DPAlVqMz7KEenC77SKHN6,The Mason Williams Phonographic Record
7eQQKjxNN4y9Ch0MkCQfTg,Isolation
4kW6CPrK2OPc0OrEcwOFQN,Quarterflash
3pZNBYMFG6OSNuajvsdN4Q,I Can Stand A Little Rain
4WsQBaO2DLvDZ5VRmsXbUH,One Eighty
1S7UdgsbZUpDEwtnNatR3Y,Swing This
4ZjbAxpWpR9qhY7253jNrX,Black & White (Expanded Edition)
0q1wetyaiLdv4t8aUKqJRE,Play - The B Sides
1HSU8sXRI9HiEAHslHRFQ3,Face the Music
7uxJVchLqSBte3L6aYsDFi,Cristian Castro en Primera Fila - Día 2
1XKDdHnYVcbcguSX2pXoP8,Open Up And Say . . . Ahh!
4ud2CEU8t2SRclAewcdqmO,Éxitos Estrella de los 60's Vol. 2
55gMu4AvAKCbCaGv3GIXgy,Star Wars: A New Hope (Original Motion Picture Soundtrack)
