id,name
0fyqyjD7pbaVzbu94ylWQR,Poco
7EM9m7HOXxVgP9oEpDDv70,Os Paralamas Do Sucesso
6DbJi8AcN5ANdtvJcwBSw8,Ringo Starr
4irCa4CneoVlte4fpr0fBx,Sweet Voices
26bcq2nyj5GB7uRr558iQg,Survivor
6YHEMoNPbcheiWS2haGzkn,Michael Bolton
5ulESxWZSX8cw4PI6xgdDG,Andrew Barth Feldman
0lwRI7lvmlRY5DiA5Xa6wQ,Lipps Inc.
51wZnRQXxiZo7qd4j0m2Bf,Massattack
45InkbGypoMk5nVX6dsHkt,N-Trance
1oX1l8zC13ovzEoGm2CAsd,The Michael Zager Band
4463nfFMmK1cwAWBQDwT5e,Laura Branigan
6tsRo8ErXzpHk3tQeH6GBW,Black Box
59hMeIYY3k3NoX54rrVGPv,Toni Basil
0OJXBz0TBaRCbyDpx62nZW,Los Dinamiteros de Colombia
6vfme68WSUU6h3dILfdWFa,Grupo Bandy2
4C3uGP8vRDzxrhJxZiOjTe,Tiffany
1cNPXWhKfjI0fT5EMCnamR,Dj Guuga
5EQMhqNfNmnIIAgwQX1WZ7,Undercover
0GByy3DcfbQwDvXGCWmzv9,Pretenders
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez
3xs0LEzcPXtgNfMNcHzLIP,Rockwell
3LfO03nEZMdWNHG2tLpMa0,Tavares
7xcXR8rEj6eRPVMFjUNtBe,Carol Douglas
0bOJXwrmw0UiFBFNBTgFuj,Viudita Moderna
0F7G8LeDmCpHHEPX55FEgq,Hi-Gloss
1tttI1iC4FsS6BM5l38oe5,Marmalade
0I2XqVXqHScXjHhk6AYYRe,Afasi & Filthy
3gdbcIdNypBsYNu3iiCjtN,The B-52's
1T0wRBO0CK0vK8ouUMqEl5,Tom Jones
0dE9ooTNz8iEKIKItRI66t,Il Volo
7iJl63aJyNd8C6NZlMv6kp,Tchakabum
4muEu9v6xHP7cegOA2lFMQ,Joshua Duran
0mpFXzm8CkqkhvN4PLCYkV,Chachi
2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart
1XgVoPT2Va5L64LFzskVBW,Mason Williams
0PFtn5NtBbbUNbU9EAmIWF,TOTO
3VJakY5Yw5phAOF4Bada5v,Quarterflash
3pFCERyEiP5xeN2EsPXhjI,Joe Cocker
0J2Ej2rMQyqaUX3G6MUISw,Ambrosia
1UkHCANZmdkKyVNvTLMrcJ,Debby Boone
2kreKea2n96dXjcyAU9j5N,The Pointer Sisters
3OsRAKCvk37zwYcnzRf5XF,Moby
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra
2AZOALDIBORfbzKTuliwdJ,Cristian Castro
1fBCIkoPOPCDLUxGuWNvyo,Poison
5BcZ22XONcRoLhTbZRuME1,The Moody Blues
3dRfiJ2650SZu6GbydcHNb,John Williams
3IZrrNonYELubLPJmqOci2,Nancy Sinatra
0KJwQTOeaANDMrCOylhAyp,DJ BestMix
3tbM6d47UIlew8eFBzcwMs,Los Lobos Featuring Arturo Sandoval
0UdXuDV03tv6hh1WSbQlrG,ToxicxEternity
1bdytLV3FPjyhfrb6BhMej,Asia
7r0Otd9dEStSVIxJ02ml5a,The Simpsons
2wY79sveU1sp5g7SokKOiI,Sam Smith
3heR1it0slFXjaa7E62zpw,Maldita Nerea
0LcJLqbBmaGUft1e9Mm8HV,ABBA
5GtMEZEeFFsuHY8ad4kOxv,Seal
6FbDoZnMBTdhhhLuJBOOqP,Jewel
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel
7AQr2pDY8hQXabKKZl5iYd,Twin Galaxxies
7HXBbxW6YwU8lvgBew2p2A,Matt Johnson
4lZXpKLxWjMDFeNmiU4H1h,Daniel Calveti
1LZEQNv7sE11VDY3SdxQeN,Bee Gees
4hKkEHkaqCsyxNxXEsszVH,John Travolta
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson
11ZDT1yZkvlXwv7RVqvUWe,Oesch's die Dritten
1vZmwfsWCHb8FJtqF6o7Cr,Kapelle Calanda
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC
1G4QsyR9Fj6k8JJK233X8C,LU
1KCSPY1glIKqW2TotWuXOR,P!nk
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
05mFGgWzooDQMWGNcNsM05,Sandy e Junior
4S9EykWXhStSc15wEx8QFK,Céline Dion
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston
3PhoLpVuITZKcymswpck5b,Elton John
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder
3TOqt5oJwL9BE2NG9MEwDa,Disturbed
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson
5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach
42Vmza0WYHdhsgxFmf9Tui,Charles Gounod
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin
5bUj39bg0zEbRzjUEISMG9,Bernard Herrmann
0TGsWvnbtExsbGUSWtXENE,Al Hirt
4Jtmjjo1t4LebBfyQnceak,Funk Poppas
00oL7zWxmWveTsKF7DnIRd,Kyle Dixon & Michael Stein
