id,playlist_id,artist_id,album_id,name
0X3uPHpG43ugGJKGivhEft,7cjcZqZV06TRcDQOtJDfp3,0fyqyjD7pbaVzbu94ylWQR,6ahRm8j7YMMjZqA1fzjwAZ,Rose Of Cimarron
4Fp23GGA5WNWgoDjdhBHeK,7cjcZqZV06TRcDQOtJDfp3,7EM9m7HOXxVgP9oEpDDv70,22Su2Seg4jxRMMSjs0bKZq,Uma Brasileira
42eZC1LaQ3qioZWVLisVT6,7cjcZqZV06TRcDQOtJDfp3,6DbJi8AcN5ANdtvJcwBSw8,6HuHvPC7L7MiJgkqpZlmH4,Only You (And You Alone)
1sPde4Vmvv3MSXfgXv6Ir2,7cjcZqZV06TRcDQOtJDfp3,4irCa4CneoVlte4fpr0fBx,68G0OrHSLOJveKlQieO3UW,Tengo Todo Excepto a Ti
7oJha5sW0FFC5zSslt7MUG,7cjcZqZV06TRcDQOtJDfp3,26bcq2nyj5GB7uRr558iQg,7fU3HcpuIm3LlN0lBlRnRR,Caught in the Game
0cfinIK2Ob3UtULhizwD5W,7cjcZqZV06TRcDQOtJDfp3,6YHEMoNPbcheiWS2haGzkn,7g7nFMPWmFfk70ZvhTs0TT,Reach Out I'll Be There
2h3ajXsZsJyYm0PVXeauJ7,7cjcZqZV06TRcDQOtJDfp3,5ulESxWZSX8cw4PI6xgdDG,50cNEYjextcTe2rb4zgkNr,Maneater (Live)
5aVvVMwfFwu5JSoMFZojDE,7cjcZqZV06TRcDQOtJDfp3,0lwRI7lvmlRY5DiA5Xa6wQ,11UdnplFKuUeb1c4KRv5vk,Designer Music
1CqUc49aoc1za2zgimAFE5,7cjcZqZV06TRcDQOtJDfp3,51wZnRQXxiZo7qd4j0m2Bf,76gosPIawDRNVQhNyoxmbY,Time After Time
3k3QGyFyA5qrT5BLqeU1Ss,7cjcZqZV06TRcDQOtJDfp3,45InkbGypoMk5nVX6dsHkt,2C5oKE03phy4w8yHTkWTNW,Stayin' Alive
2xGMzDlPnmPHD8HUYOy4Lw,7cjcZqZV06TRcDQOtJDfp3,1oX1l8zC13ovzEoGm2CAsd,2xpV9DXIMjXsVPs5Mz0Nez,Let's All Chant
6B4bbxgcToDVMkw92Oj356,7cjcZqZV06TRcDQOtJDfp3,4463nfFMmK1cwAWBQDwT5e,5cwUCXPFFfNsnk4qipc40D,Ti Amo
6aKxDL6KiKCHYsQyDq7Vgd,7cjcZqZV06TRcDQOtJDfp3,6tsRo8ErXzpHk3tQeH6GBW,6r4vIr4aUsK00mGHDiQkrl,Fantasy
2D4OQO0Bs0VCUshG0k9AaG,7cjcZqZV06TRcDQOtJDfp3,59hMeIYY3k3NoX54rrVGPv,1Vy0WYKKo7beRsrWm5hU3w,Mickey - Spanish Version
2JIMK18X3FjfD0kPXusjt3,7cjcZqZV06TRcDQOtJDfp3,0OJXBz0TBaRCbyDpx62nZW,0tyIX9LOF4VEp367nBjZI4,Tu Serás Mi Baby
6pOvf0w50Ipo48ZBdP4Ini,7cjcZqZV06TRcDQOtJDfp3,6vfme68WSUU6h3dILfdWFa,0uyDLDRveRYKxBpkV9MQ0d,Y Yo la Amo
4uvjOKsp7mSjrDhWdkLPBY,7cjcZqZV06TRcDQOtJDfp3,4C3uGP8vRDzxrhJxZiOjTe,0ORrRtBqjERyBBZWSsSw9C,I Think We're Alone Now
3CQzjk1ai3fz4lMJSHd30L,7cjcZqZV06TRcDQOtJDfp3,1cNPXWhKfjI0fT5EMCnamR,320pxdXLv6T9FAG8XmpAYx,Fez assim Fiu Fiu
5zQ0hhBlYb23q2XAP6Br70,7cjcZqZV06TRcDQOtJDfp3,5EQMhqNfNmnIIAgwQX1WZ7,719HzJ5wKCbFb5KeU96DhW,Baker Street - Extended Mix
4eDudjc2i0obi3f2b00qVj,7cjcZqZV06TRcDQOtJDfp3,0GByy3DcfbQwDvXGCWmzv9,1Qo4xIO7aWMVcbelqpTdGY,Back on the Chain Gang
1Y3LN4zO1Edc2EluIoSPJN,7cjcZqZV06TRcDQOtJDfp3,5XKFrudbV4IiuE5WuTPRmT,7ARtQpvnPN2ucbmVHngLOs,Until I Found You (with Em Beihold) - Em Beihold Version
1bOEl3oW1TzEu69tZQ2PKp,7cjcZqZV06TRcDQOtJDfp3,3xs0LEzcPXtgNfMNcHzLIP,5RkdTCk60twFkCif5HLHKw,Knife
0nz7eSSUtNM7wLkYE3x1Wl,7cjcZqZV06TRcDQOtJDfp3,3LfO03nEZMdWNHG2tLpMa0,0pqHRSv6OfxRSc0kLNDrUb,More Than A Woman
5lm6sXwt7Nfbh0CIuKaEMg,7cjcZqZV06TRcDQOtJDfp3,7xcXR8rEj6eRPVMFjUNtBe,1mByrI0D24jYEOU6tGcPNH,My Simple Heart
1gm4y6EsytMZGdOlFtDnEb,7cjcZqZV06TRcDQOtJDfp3,0bOJXwrmw0UiFBFNBTgFuj,5eEBbzeBJlcvLl9r0RkxcC,La Gata Bajo La LLuvia
15TCBcHCuyYMCpEN5r6jF4,7cjcZqZV06TRcDQOtJDfp3,0F7G8LeDmCpHHEPX55FEgq,31J1iOZVTNzbSPtIhsXPsp,You'll Never Know
1NUDVUcdg8va2GcvOkDmrF,7cjcZqZV06TRcDQOtJDfp3,1tttI1iC4FsS6BM5l38oe5,5d4msKq0dPFzNJ0bUyC4fb,Reflections Of My Life
50NLGWhZIeFMuyDBCnJySN,7cjcZqZV06TRcDQOtJDfp3,0I2XqVXqHScXjHhk6AYYRe,21y4sclc2q199psUjcisyE,Bomfalleralla - Censurerad Fegisversion
6IqxdgKZui9RGMYcSw1itG,7cjcZqZV06TRcDQOtJDfp3,3gdbcIdNypBsYNu3iiCjtN,779UxXcPip2XPDr7Pitem6,(Meet) The Flintstones
2v8B8d17Xxu9uLU5sNiHSL,7cjcZqZV06TRcDQOtJDfp3,1T0wRBO0CK0vK8ouUMqEl5,0CMD71ge42KYLaPZVor3bp,Delilah
0Hx6fficO6Mfehd5nBSxln,7cjcZqZV06TRcDQOtJDfp3,0dE9ooTNz8iEKIKItRI66t,3Ugt1E8Ft5I0Ry1cLUdMIi,Canzone per te - 2015 Version
25ZWAHo2kEfhZcluspQkWY,7cjcZqZV06TRcDQOtJDfp3,7iJl63aJyNd8C6NZlMv6kp,7Bic8EgjX9MCpMEOEO3kff,Onda Onda (Olha Onda)
0zWCWXDpNuSWRvIDkmaZyy,7cjcZqZV06TRcDQOtJDfp3,4muEu9v6xHP7cegOA2lFMQ,11VyApJ9p9rT2VMQ6QH9vg,Rain
6LPB979FzxArOcmoZHJBpe,7cjcZqZV06TRcDQOtJDfp3,0mpFXzm8CkqkhvN4PLCYkV,370c3ksxpRar63A1MuRuCW,Land Down Under
5sgVguJJlA7thC8ybAFOo5,7cjcZqZV06TRcDQOtJDfp3,2y8Jo9CKhJvtfeKOsYzRdT,6gDOvRUvES84YOBkMEQTbD,Tonight I'm Yours (Don't Hurt Me)
4DK3JpX2NkEMhCnltUEvUg,7cjcZqZV06TRcDQOtJDfp3,1XgVoPT2Va5L64LFzskVBW,3DPAlVqMz7KEenC77SKHN6,Classical Gas
4wcrWfOjVNYoznqCKfu9d1,7cjcZqZV06TRcDQOtJDfp3,0PFtn5NtBbbUNbU9EAmIWF,7eQQKjxNN4y9Ch0MkCQfTg,Stranger In Town
3CSLUIrI2KPMulHR5bh17O,7cjcZqZV06TRcDQOtJDfp3,3VJakY5Yw5phAOF4Bada5v,4kW6CPrK2OPc0OrEcwOFQN,Harden My Heart
1gJOqXpRjz9GeEEwQpcujK,7cjcZqZV06TRcDQOtJDfp3,3pFCERyEiP5xeN2EsPXhjI,3pZNBYMFG6OSNuajvsdN4Q,You Are So Beautiful
6JHXiRD1QjMK1N6AQEnL04,7cjcZqZV06TRcDQOtJDfp3,0J2Ej2rMQyqaUX3G6MUISw,4WsQBaO2DLvDZ5VRmsXbUH,Biggest Part of Me
56NfC7i0W8ieHoZlUKl7YU,7cjcZqZV06TRcDQOtJDfp3,1UkHCANZmdkKyVNvTLMrcJ,1S7UdgsbZUpDEwtnNatR3Y,You Light Up My Life
3fvDLsiTHPQNgzuMd3Mpb5,7cjcZqZV06TRcDQOtJDfp3,2kreKea2n96dXjcyAU9j5N,4ZjbAxpWpR9qhY7253jNrX,Slow Hand
2O8EVtQtfsKBABn0hOxs8Y,7cjcZqZV06TRcDQOtJDfp3,3OsRAKCvk37zwYcnzRf5XF,0q1wetyaiLdv4t8aUKqJRE,Flower
7fyWwRWsyYs6Wl7CT7O1DP,7cjcZqZV06TRcDQOtJDfp3,7jefIIksOi1EazgRTfW2Pk,1HSU8sXRI9HiEAHslHRFQ3,Strange Magic
1iMflR91IDEF0WtrmbVUwF,7cjcZqZV06TRcDQOtJDfp3,2AZOALDIBORfbzKTuliwdJ,7uxJVchLqSBte3L6aYsDFi,No Podrás (feat. Benny Ibarra) - Primera Fila - Live Version
5qaSekPPKHIEA1Yn0qkCaC,7cjcZqZV06TRcDQOtJDfp3,1fBCIkoPOPCDLUxGuWNvyo,1XKDdHnYVcbcguSX2pXoP8,Every Rose Has Its Thorn
55CPsysDqVX0nu6nKqiyDt,7cjcZqZV06TRcDQOtJDfp3,5BcZ22XONcRoLhTbZRuME1,4ud2CEU8t2SRclAewcdqmO,Nights In White Satin - Single Version
0mcjp7typ1CcpSiycHZT2E,7cjcZqZV06TRcDQOtJDfp3,3dRfiJ2650SZu6GbydcHNb,55gMu4AvAKCbCaGv3GIXgy,The Princess Appears
5BH09YBjBBOjMsDCiZOv70,7cjcZqZV06TRcDQOtJDfp3,3dRfiJ2650SZu6GbydcHNb,4RSVY5851aNeCttrDpdj7A,Confrontation with Count Dooku and Finale
5xip26rkIkNCFKRpPc9aqd,7cjcZqZV06TRcDQOtJDfp3,3dRfiJ2650SZu6GbydcHNb,4RSVY5851aNeCttrDpdj7A,The Meadow Picnic
0AWN35e76cvPxAUms8SojX,7cjcZqZV06TRcDQOtJDfp3,3IZrrNonYELubLPJmqOci2,6rqIXGej4Zy1PZtU8J9gEC,Sugar Town
0fuhKgYtkPNb3sDToQkM2N,7cjcZqZV06TRcDQOtJDfp3,6YHEMoNPbcheiWS2haGzkn,4rpZLlTOc4j6COgb1cGn2D,When A Man Loves A Woman
3H6zpvjgxS0Hy6pwLKKPGM,7cjcZqZV06TRcDQOtJDfp3,0KJwQTOeaANDMrCOylhAyp,2yHLxdxGmdGguvBVAH3iJR,Waiting for a Girl Like You
0oijeKyTNCqJTygDDQMIjg,7cjcZqZV06TRcDQOtJDfp3,3tbM6d47UIlew8eFBzcwMs,426K86O7YGUVVyfkHzjuCo,Walk Don't Rango
18HeAdF0IHTQ328y5VKVQk,7cjcZqZV06TRcDQOtJDfp3,0UdXuDV03tv6hh1WSbQlrG,6G5QV9MO66u3FyvfZxoDXY,Death Note Metal Medley
1nmZ8yqKkfooOuYvtFctDp,7cjcZqZV06TRcDQOtJDfp3,1bdytLV3FPjyhfrb6BhMej,5TkfP3cqWgeBvCugPeiGNl,Heat Of The Moment
07RDUd5kIic1S51ycDJfqG,7cjcZqZV06TRcDQOtJDfp3,7r0Otd9dEStSVIxJ02ml5a,0YUx20YH6vdMhBrd5JWPOE,Your Wife Don't Understand You
7795WJLVKJoAyVoOtCWqXN,7cjcZqZV06TRcDQOtJDfp3,2wY79sveU1sp5g7SokKOiI,08jWgM4vSkTose4blKBWov,I'm Not The Only One
3hlYxsbq75SWlRfN7XR7Ax,7cjcZqZV06TRcDQOtJDfp3,3heR1it0slFXjaa7E62zpw,3HCbcwsHZ8nLflxd68Yy2N,El Secreto de las Tortugas - Version 2010
4RxyWv8GLYTGg6U4kLdZox,7cjcZqZV06TRcDQOtJDfp3,0LcJLqbBmaGUft1e9Mm8HV,1ZVourNSOich8buZk5ILdZ,Dame! Dame! Dame! - Spanish Version
3YKptz29AsOlm7WAVnztBh,7cjcZqZV06TRcDQOtJDfp3,5GtMEZEeFFsuHY8ad4kOxv,1mSECpFqHRW6leG4idqTE1,Kiss from a Rose
40D6z3SPM1SdYVtqXfsgTh,7cjcZqZV06TRcDQOtJDfp3,6FbDoZnMBTdhhhLuJBOOqP,6aDRCnCbuqY7NkerfUcyp7,Brahms' lullaby
2G2Bo2efAPbrmj2Fv9PB4Z,7cjcZqZV06TRcDQOtJDfp3,70cRZdQywnSFp9pnc2WTCE,3yBHKQftjFdexrMsd4gbzZ,"The Sound of Silence - Live at Lincoln Center, New York City, NY - January 1967"
3duyRE5R3F8xmrpK2DRhXx,7cjcZqZV06TRcDQOtJDfp3,7AQr2pDY8hQXabKKZl5iYd,2ZM0WRaNPVbeLSrVTjfRKX,Vaporised in Another Dimension
4koLDLgkBcSKNPjZReFpqU,0IEmYoBbBVMxmErP9sXvcv,7HXBbxW6YwU8lvgBew2p2A,7MW4Ij5prMGfwpUzVHVyFS,Rest Of My Life
4Io9nq91YUZNcCeQ0zDcID,0IEmYoBbBVMxmErP9sXvcv,4lZXpKLxWjMDFeNmiU4H1h,1tQiDUKWTbToF8mpA0GZNm,Mi Historia De Amor
2xiOdusRnZezQok1RgLNeS,0IEmYoBbBVMxmErP9sXvcv,1LZEQNv7sE11VDY3SdxQeN,4V8z8vZUCyYUBlUI9CfSbY,You Should Be Dancing
0B9x2BRHqj3Qer7biM3pU3,0IEmYoBbBVMxmErP9sXvcv,4hKkEHkaqCsyxNxXEsszVH,5n47Dui0H3pGpZSOxITmoq,You're The One That I Want - From “Grease”
32OlwWuMpZ6b0aN2RZOeMS,0IEmYoBbBVMxmErP9sXvcv,3hv9jJF3adDNsBSIQDqcjp,3vLaOYCNCzngDf8QdBg2V1,Uptown Funk (feat. Bruno Mars)
5M5qggHWyKCMJ2TPjBG6uV,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,5iq2KQYGaiV8NkzNEXMhvS,Jodel-Time
37Fepha6V96wzsNaSVjm7P,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,5W6SGx6TXHMHojSsvwI6rj,Ku-Ku Jodel
47C1vnIeO9WOYkqITt5pTw,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,3NWHeVJC3JU8hBOr5vRO1v,Ich schenk' dir einen Jodler
4C7YjetWKTHSW5ytzv9Ilr,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,3Zo5YaBnKIcF6N2oXT1z98,Volksmusik ist international
0OOEECAYTGnX5YJgK9qL2X,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,6msBE66KiZaOb8wGi4mIRU,Chica Suiza (Swiss-Girl)
6sxatwDDcgfY0VwGUkZ6oy,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,5iq2KQYGaiV8NkzNEXMhvS,Jodeln ist cool
5Eyn0Gh4N3qfCndKQnVxg6,5DIIzmUsqeonQw3rfq2ljj,1vZmwfsWCHb8FJtqF6o7Cr,7ma51mM99nh5COqt9ZIIeY,Winterthurer-Stadtrat-Marsch
5b3lFITH4vYoc9C4BnFod7,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,5iq2KQYGaiV8NkzNEXMhvS,Swiss-Girl
4LUO8R2exY48gRySOopsFE,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,3PFsHgIKQ50BJ6qz61RU6T,Butterfly - Französische Version
4dQ99AXKZcfcVAGuBD4jCf,5DIIzmUsqeonQw3rfq2ljj,11ZDT1yZkvlXwv7RVqvUWe,6msBE66KiZaOb8wGi4mIRU,Heimat
46n2EGFnPC3tzWCN1Aqe26,0AZyn4PyRoF5T2rd2MqOPG,6Ff53KvcvAj5U7Z1vojB5o,20RMokVwJ2wjQ0s8FOdOFC,This I Promise You
6UasGHVCcVrEe4G8Gx8uC6,0AZyn4PyRoF5T2rd2MqOPG,1G4QsyR9Fj6k8JJK233X8C,3uQkqd0DBDqQRcmG4X08ew,Entre mis brazos
0oagwWkGlBoACUuKvTmqZV,0AZyn4PyRoF5T2rd2MqOPG,1KCSPY1glIKqW2TotWuXOR,6MtlLy42YdFaJNOgDA0NZW,A Million Dreams
6ukMqDxnOPOgoHdak7Kyp3,0AZyn4PyRoF5T2rd2MqOPG,6VuMaDnrHyPL1p4EHjYLi7,5t4A7Loq1pKRFlkBOs1O2O,Marvin Gaye (feat. Meghan Trainor)
5ZzF9fMznPR2mZSDdPNp3z,0AZyn4PyRoF5T2rd2MqOPG,05mFGgWzooDQMWGNcNsM05,5QsgB9or79ihHL2lwcmRbo,O Amor Faz
3oEHQmhvFLiE7ZYES0ulzv,0AZyn4PyRoF5T2rd2MqOPG,4S9EykWXhStSc15wEx8QFK,3SwxRkHbAarf3wWlInRTzA,"My Heart Will Go On - Love Theme from ""Titanic"""
7GgUY1TK5etQrJqCVuYWMW,0AZyn4PyRoF5T2rd2MqOPG,6wPhSqRtPu1UhRCDX5yaDJ,5Wt2zl05S5XoGDEBxWkFdo,I Hate This Part
6yJxCltgtmGxIgKOS6ndnu,0AZyn4PyRoF5T2rd2MqOPG,6XpaIBNiVzIetEPCWDvAFP,2MH37enG6IPvNK5QFLyKes,Greatest Love of All
3HumjbmriJjdIIte2NxlNa,0AZyn4PyRoF5T2rd2MqOPG,05mFGgWzooDQMWGNcNsM05,52ickEohVUpmiZ4Yeya8ti,As Quatro Estações - Remix
0a93gOQyRFfc2tVtup7JVP,0AZyn4PyRoF5T2rd2MqOPG,3PhoLpVuITZKcymswpck5b,1vsWzNT3lzLt7RNLUdUVZB,Tiny Dancer
0Oii8bI6O1ZlhBrOrtJ5GF,0AZyn4PyRoF5T2rd2MqOPG,7guDJrEfX3qb6FEbdPA5qi,6qErkWYP1Xs5BR6cxyMrFF,I Just Called To Say I Love You
1Cj2vqUwlJVG27gJrun92y,0AZyn4PyRoF5T2rd2MqOPG,3TOqt5oJwL9BE2NG9MEwDa,3qFQ4XNQ15alZrAaj5oGJK,The Sound of Silence
7ceIquYtiTYlgSSm7PqUf9,0AZyn4PyRoF5T2rd2MqOPG,3BmGtnKgCSGYIUhmivXKWX,7KQy2pkGubHDzaTnPmX1oo,Already Gone
2kl1jPa51yEz2NX2RwWlFt,06R8l27q0rt0RvsnNFtreR,5aIqB5nVVvmFsvSdExz408,7eRn3LgcGr6zYt5M6DyLOh,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air"
